"Date","Price","Open","High","Low","Vol.","Change %"
"2018-08-27","4.7301","4.8150","4.8850","4.7325","","0.29%"
"2018-08-24","4.7162","4.7400","4.8900","4.7256","","-2.76%"
"2018-08-23","4.8500","4.7400","4.8700","4.7302","","2.32%"
"2018-08-22","4.7400","4.7400","4.8675","4.7150","","-1.96%"
"2018-08-21","4.8350","4.7400","4.8600","4.7400","","0.42%"
"2018-08-20","4.8150","4.7400","4.8700","4.7375","","1.58%"
"2018-08-17","4.7400","4.8200","4.8750","4.7400","","-2.67%"
"2018-08-16","4.8700","4.7400","4.8850","4.7325","","0.31%"
"2018-08-15","4.8550","4.7400","4.8713","4.7150","","0.94%"
"2018-08-14","4.8100","4.7400","4.8750","4.7338","","1.69%"
"2018-08-13","4.7300","4.7400","4.9000","4.7300","","0.45%"
"2018-08-10","4.7086","4.7400","4.8600","4.7168","","-1.70%"
"2018-08-09","4.7900","4.7400","4.8150","4.7150","","-0.21%"
"2018-08-08","4.8000","4.7400","4.8175","4.7225","","0.63%"
"2018-08-07","4.7700","4.7900","4.8103","4.7225","","1.06%"
"2018-08-06","4.7200","4.7948","4.8103","4.7200","","0.43%"
"2018-08-03","4.6999","4.7400","4.8000","4.7100","","-0.22%"
"2018-08-02","4.7103","4.7400","4.8100","4.7102","","-1.42%"
"2018-08-01","4.7782","4.7400","4.8103","4.6935","","1.34%"
"2018-07-31","4.7150","4.7400","4.8100","4.7125","","0.29%"
"2018-07-30","4.7016","4.7400","4.8100","4.7158","","-0.28%"
"2018-07-27","4.7150","4.7400","4.8213","4.7200","","-0.02%"
"2018-07-26","4.7159","4.7400","4.8238","4.7100","","-0.10%"
"2018-07-25","4.7206","4.7471","4.8288","4.7150","","-0.20%"
"2018-07-24","4.7300","4.7400","4.8350","4.7400","","-1.23%"
"2018-07-23","4.7891","4.7950","4.8200","4.7400","","0.19%"
"2018-07-20","4.7800","4.7950","4.8012","4.7525","","-0.21%"
"2018-07-19","4.7900","4.7950","4.8025","4.7200","","0.00%"
"2018-07-18","4.7900","4.7991","4.8500","4.7450","","-0.05%"
"2018-07-17","4.7925","4.7800","4.8088","4.7650","","0.26%"
"2018-07-16","4.7800","4.7800","4.8100","4.7650","","-0.21%"
"2018-07-13","4.7900","4.7925","4.8138","4.7600","","0.62%"
"2018-07-12","4.7604","4.7800","4.8063","4.7300","","0.46%"
"2018-07-11","4.7387","4.7800","4.8113","4.7400","","-0.37%"
"2018-07-10","4.7564","4.8150","4.8200","4.7400","","-0.40%"
"2018-07-09","4.7756","4.7800","4.8300","4.7377","","-0.92%"
"2018-07-06","4.8200","4.7963","4.8300","4.7400","","0.94%"
"2018-07-05","4.7752","4.7800","4.8190","4.7200","","-0.10%"
